Date,Mileage,"Fill (1-yes,0-no,-1-purchase)","Octane(1-reg,2-+,3-prem)",Gallons,Dollars,Driver,"Snow Tires (0-no,1-yes)","Ethanol (0-no,1-yes)",Car Make,Car Model,Car Year,Engine Size (L),Engine Cyl,"Engine Config (1-I, 2-V)",Hybrid
7/14/96,94955,0,1,2.3,3,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/16/96,95019,1,1,13.8,17.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/20/96,95341,1,1,12.5,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/29/96,95584,1,1,10.9,12.75,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/8/96,95933,0,1,4.1,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/9/96,96043,1,1,14.9,17.3,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/17/96,96370,0,3,9.6,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/19/96,96405,1,1,5.6,6.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/29/96,96741,0,1,4.3,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/4/96,96884,1,1,17.2,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/15/96,97210,1,3,14.5,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/19/96,97565,0,1,8.6,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/3/96,97828,0,1,15.5,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/10/96,98122,0,1,13.3,15.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/19/96,98378,1,3,11.1,14.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/29/96,98709,1,1,14.4,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/7/96,99059,0,1,5.9,7,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/14/96,99200,1,1,15.8,19,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/20/96,99570,0,1,11,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/23/96,99773,1,1,13.1,16,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/27/96,100081,0,1,12.3,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/9/96,100420,0,1,16.4,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/13/96,100753,0,1,13.9,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/18/96,101088,0,1,10.6,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/20/96,101237,0,1,8.2,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/27/96,101431,1,1,10.5,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/9/97,101647,0,1,8,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/17/97,101870,0,3,13.1,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/21/97,102245,1,1,15.3,19,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/29/97,102452,0,1,8.1,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/31/97,102673,0,1,7.6,9,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/7/97,102922,1,1,13.4,16.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/17/97,103241,1,1,14.3,17.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/21/97,103566,1,1,12.4,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/28/97,103832,1,1,10.9,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/7/97,104090,1,1,11.7,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/15/97,104389,1,1,14.1,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/20/97,104758,0,1,10,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/21/97,104988,1,1,11.8,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/23/97,105207,1,1,8.4,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/28/97,105450,0,3,7.7,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/28/97,105552,1,1,6.6,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/4/97,105925,0,1,15.1,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/11/97,106206,1,3,12.3,16,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/18/97,106439,1,1,10.2,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/27/97,106708,0,3,11.9,15.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/30/97,106937,1,1,8.9,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/9/97,107181,1,3,9.5,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/12/97,107369,0,3,4,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/16/97,107625,1,3,13.3,16.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/23/97,107916,1,1,12.1,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/30/97,108138,1,3,8.7,11,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/6/97,108390,0,3,3.2,4,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/7/97,108517,1,1,12.2,13.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/13/97,108758,1,3,9.1,11.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/17/97,109026,0,1,9,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/23/97,109437,0,1,10.7,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/27/97,109667,1,3,15.3,19,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/7/97,109914,1,1,8.9,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/11/97,110236,0,1,6.2,7,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/11/97,110299,1,3,8,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/17/97,110589,0,1,4.5,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/17/97,110633,1,3,9,10.75,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/25/97,110875,1,3,9.8,12.25,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/7/97,111138,1,1,10.8,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/11/97,111353,1,3,8.7,11,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/19/97,111592,1,1,9.9,11.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/22/97,111880,1,3,10.1,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/4/97,112301,0,3,5,6.75,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/7/97,112406,0,3,5.3,7,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/9/97,112538,0,1,16.8,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/20/97,112977,1,1,16.8,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/3/97,113365,1,1,16.8,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/10/97,113661,1,3,10.9,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/17/97,114006,0,1,8.7,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/21/97,114250,0,1,10,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/24/97,114509,0,1,12.1,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/3/97,114806,0,1,8.7,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/10/97,114949,1,1,10.4,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/17/97,115298,1,1,15.9,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/1/97,115640,0,1,7.1,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/4/97,115854,1,3,14.5,14.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/11/97,116184,1,1,15.1,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/19/97,116572,1,1,16,18,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/9/98,116927,1,1,14.4,16,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/18/98,117084,1,1,6.3,7,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/23/98,117245,1,1,7.3,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/14/98,117545,1,1,13.6,14.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/2/98,117890,1,1,14,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/16/98,118269,1,1,15.9,15.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/27/98,118613,1,1,14.4,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/6/98,118977,0,3,12.2,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/9/98,119144,1,1,10,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/17/98,119361,1,1,8,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/2/98,119716,1,1,15.6,16,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/18/98,120116,1,1,15,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/1/98,120441,1,1,13.7,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/17/98,120865,1,1,15.2,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/24/98,121278,0,1,5,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/29/98,121398,1,1,15,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/3/98,121565,1,3,6.4,7.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/21/98,121876,0,3,10.3,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/28/98,122165,1,1,14.2,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/9/98,122453,1,3,11.7,13.6,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/26/98,122851,0,3,13.1,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
8/29/98,123037,1,3,10.1,11,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/14/98,123415,0,1,14.5,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
9/25/98,123746,1,3,13.6,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/7/98,124139,0,1,11.5,11,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/16/98,124404,1,1,14.2,13.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/24/98,124731,0,1,11.5,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
10/30/98,125000,0,3,11.8,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/11/98,125366,0,1,13.8,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/19/98,125726,1,1,15.9,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
11/30/98,35528,-1,0,0,0,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/5/98,35690,1,1,9.1,8.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/17/98,35987,1,1,14.6,13.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/24/98,36248,1,1,12.7,11.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/31/98,36509,1,1,12.1,11,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/8/99,36715,1,1,11.2,10.6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/21/99,36940,1,1,11,9.95,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/23/99,37092,1,1,7.3,6.55,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/4/99,37367,1,1,13.1,11.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/13/99,37568,1,1,9.6,8.65,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/20/99,37843,1,1,12.7,11.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/4/99,38137,1,1,14.1,12.9,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/17/99,38395,1,1,12.7,10.45,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/20/99,38618,1,1,10.2,9.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/30/99,38926,1,1,14.5,13.95,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/8/99,39226,1,1,13.7,14,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/21/99,39511,1,1,13.8,14.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/29/99,39815,1,1,14.4,15.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/8/99,40116,0,1,13.2,14,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/18/99,40403,0,1,9.3,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/7/99,40632,1,1,14.4,15.15,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/17/99,40954,0,1,4.6,5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/17/99,40974,1,1,10.4,11.2,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/24/99,41196,0,1,9.1,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/6/99,41445,0,1,12.7,13.88,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/15/99,41747,1,1,14,15.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/28/99,42024,1,1,14,16.1,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/10/99,42334,1,1,14.6,17.1,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/25/99,42617,1,1,13.2,15.33,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/31/99,42862,1,1,11.8,14.2,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/10/99,43142,1,1,13.5,16.01,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/11/99,43369,1,1,9,11.05,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/21/99,43632,0,1,7.2,8.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/25/99,43789,1,1,12.8,15.89,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/6/99,44031,0,1,3.1,4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/10/99,44139,1,1,13.6,17,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/19/99,44426,0,1,4.4,5.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/22/99,44538,1,1,14.1,17.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/30/99,44797,0,1,7.3,9,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/9/99,44979,1,1,13.2,16.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/19/99,45254,1,1,13.4,16.95,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/2/99,45449,1,1,9.3,9.3,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/5/99,45674,0,1,8,10.3,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/11/99,45929,0,1,14.1,18,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/18/99,46150,1,1,11.2,13,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/29/99,46307,1,1,8.3,9.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/10/00,46539,1,1,11.4,13.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/19/00,46750,1,1,10.7,13.24,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/30/00,46978,1,1,11.4,14.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/5/00,47166,1,1,9.3,12.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/15/00,47396,1,1,11.7,15.24,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/24/00,47637,0,1,9.1,12,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/6/00,47852,1,1,12.4,17.9,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/16/00,48087,1,1,11.2,16.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/27/00,48342,1,1,12,17.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/7/00,48607,0,1,4.11,6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/10/00,48658,1,1,11.6,15.98,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/20/00,48885,0,1,5.8,8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/22/00,49053,1,1,12.9,17.68,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/4/00,49340,1,1,13.6,18.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/14/00,49594,0,1,6,9,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/18/00,49760,0,1,8.4,12,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/24/00,49934,1,1,13.3,18.83,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/8/00,50221,1,1,13.3,20,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/15/00,50507,1,1,13.8,21,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/5/00,50796,1,1,13.9,22,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/13/00,51057,1,1,12.9,20,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/29/00,51283,0,1,8.6,13,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/8/00,51532,0,1,13.7,20,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/18/00,51816,0,1,6.5,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/23/00,51930,1,1,12.1,17.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/29/00,52129,1,1,9.2,13.3,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/2/00,52502,1,1,11.7,16.97,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/2/00,52549,0,1,6.2,9,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/16/00,52841,0,1,3.2,5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/16/00,52890,1,1,12.8,19.07,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/27/00,53184,0,1,6.7,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/3/00,53305,0,1,8.1,12,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/11/00,53482,1,1,13.4,19.85,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/18/00,53735,0,1,5.4,8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/24/00,53879,1,1,13,19,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/1/00,54082,0,1,4,6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/8/00,54234,1,1,13.2,19.35,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/16/00,54439,0,1,6,8.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/22/00,54574,1,1,11,15.7,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/30/00,54792,0,1,7,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/5/00,54969,1,1,12.7,18.1,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/12/00,55143,1,1,8.8,12.35,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/19/00,55386,1,1,11.6,16.35,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/29/00,55589,0,1,7.7,10.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/4/01,55729,1,1,10.3,14.45,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/16/01,55955,1,1,11.9,16.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/30/01,56199,1,1,12.5,16.85,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/6/01,56458,1,1,12.8,17.35,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/16/01,56711,1,1,12.4,16.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/21/01,56904,1,1,8.8,12.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/5/01,57158,1,1,12.8,17.95,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/15/01,57410,1,1,12.4,17.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/21/01,57564,1,1,7.5,11.6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/2/01,57825,1,1,13.1,18.65,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/13/01,58092,1,1,12.6,19.25,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/26/01,58380,1,1,14,22.3,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/4/01,58635,0,1,6,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/14/01,58793,1,1,13.4,22.35,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
5/24/01,59069,1,1,12.7,21.15,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/5/01,59367,1,1,13.9,23,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/15/01,59630,1,1,12.4,18.64,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
6/25/01,59827,0,1,19,30,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/5/01,60239,1,1,12.8,18.7,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/19/01,60390,1,1,7.3,10.2,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
7/21/01,60607,1,1,9.7,13.15,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/2/01,60880,1,1,13.5,18.2,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
8/13/01,61142,1,1,13.3,17.75,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/2/01,61398,1,1,12.7,17,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/14/01,61638,1,1,11.8,16.1,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
9/19/01,61765,1,1,6.5,8.8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/2/01,62055,0,1,9,12,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/2/01,62078,1,1,6.3,8.6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/17/01,62407,1,1,15.75,18.13,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
10/22/01,62703,1,1,14.1,15.6,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/1/01,63004,0,1,10,11,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/1/01,63024,1,1,5,5.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/9/01,63257,1,1,11.8,12.5,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
11/19/01,63515,1,1,12.5,13,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/5/01,63816,1,1,14.3,14.65,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
12/17/01,64112,1,1,14.7,14.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/7/02,64373,1,1,13.6,13.93,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/21/02,64663,0,1,9.4,10,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/21/02,64682,1,1,6.6,7,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
1/29/02,64941,1,1,13,14.4,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/7/02,65196,1,1,12.6,13.55,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
2/22/02,65463,1,1,13.1,13.85,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/6/02,65764,1,1,14.6,16.2,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/9/02,65925,1,1,7,8,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
3/23/02,66219,1,1,14,19.15,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/2/02,66484,1,2,12.5,16.3,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
4/10/02,66780,1,1,13.9,19.25,Mary,0,0,Plymouth,Voyager,1996,3,6,2,0
